Description,Name,Symbol,Symbol-Display,Unicode,Type,Role,Voice,Place,Manner,Flap,Lateral,Liquid,Glide,Sonority,Back,Central,Front,Close,Mid,Open,Round,Rhotic,EML
Bilabial percussive,Bilabial percussive,ʬ,ʬ,0x2ac,Consonant,base,,,,,,,,,,,,,,,,,
Bidental percussive,Bidental percussive,ʭ,ʭ,0x2ad,Consonant,base,,,,,,,,,,,,,,,,,
Labial spread,Subscript left-right arrow,͍,◌͍,0x34d,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Lower-dental,Superscript bridge,͆,◌͆,0x346,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Interdental/bidental,"Subscript bridge, superscript bridge",̪͆,◌̪͆,0x32a + 0x346,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Alveolar,Subscript equals,͇,◌͇,0x347,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Labial,Subscript seagull,̼,◌̼,0x33c,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Strong articulation,Subscript double syllabicity mark,͈,◌͈,0x348,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Weak articulation,Subscript left angle,͉,◌͉,0x349,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Whistled articulation,Subscript up arrow,͎,◌͎,0x34e,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Sliding articulation,Subscript combining right arrow,͢,◌͢,0x362,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Denasalized,Superscript not tilde,͊,◌͊,0x34a,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Nareal fricative,Superscript dotted tilde,͋,◌͋,0x34b,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Velopharyngeal frication,Superscript almost-equal,͌,◌͌,0x34c,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Ingressive,Downwards arrow,↓,↓,0x2193,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Egressive,Upwards arrow,↑,↑,0x2191,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Post-voicing,Subscript wedge,ˬ,◌ˬ,0x2ec,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Pre-voicing,Subscript wedge,ˬ̵,ˬ̵◌,0x2ec + 0x335,Diacritic,diacritic_left,,,,,,,,,,,,,,,,,
Distorted,Combining Vertical Tilde,̾,◌̾,0x33e,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Null,Empty set,∅,∅,0x2205,Null,base,,,,,,,,,,,,,,,,,
pharyngeal,COMBINING TILDE OVERLAY,̴,◌̴̴,0x334,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
UNKNOWN,NON-SPACING RING ABOVE,̊,◌̊,0x03A,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Modifier letter small D,superscript D,ᵈ,◌ᵈ,0x0064,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Modifier letter small T,superscript T,ᵗ,◌ᵗ,0x0074,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Modifier letter small ʊ,superscript ʊ,ᶷ,◌ᶷ,0x1db7,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Modifier letter small K,superscript K,ᵏ,◌ᵏ,0x1d4f,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Modifier letter small θ,superscript θ,ᶿ,◌ᶿ,0x1dbf,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Palatalized,COMBINING PALATALIZED HOOK BELOW,̡,̡◌,0x0321,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Modifier letter small turned R with hook,superscript ɻ,ʵ,◌ʵ,0x02b5,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
End high tone,MODIFIER LETTER END HIGH TONE,˺,◌˺,0x02fa,Tone,diacritic_right,,,,,,,,,,,,,,,,,
Modifier letter small X,superscript X,ˣ,◌ˣ,0x02e3,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Modifier letter small G,superscript G,ᵍ,◌ᵍ,0x1d4d,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Backed,Modifier letter right arrowhead,˃,◌˃,0x02c3,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
